address,incident_edges,betweenness_centrality
0xdfc18bb99318865ba020294c887ddbfc3490fa20,4,574879
0x719bf490e3159718bb295cd1d59f6c3e0bb6e9b3,2,574763
0x7bf6926bcf01507d5a5600f49d1650540cdaad48,42,573794
0xe4f25f8eb4b28a3cbad8b933f09b8464ba94e7f9,2,547281
0x85323a8f979bf30715178c89fd2c9dc6259f5398,2,546465
0xeb0be6cb47d63f24837f92a0afea90e89453623d,2,545943
0x16239b4c06db9c6d25fbfbf872b39c3dd90b6c02,4,540570
0xfa54806d0c043e56d6285f48de59cb83e7f00af8,18,538007
0x6c18b39eb3303fec743e23f1f91e93dfae9552ba,5,536573
0x9d5e6fbec06bfa8449ee80f87a513956819617be,4,530158
0xb3fc2aaa5c68412b160957d0e89748b28ef00439,4,530158
0x88d10dadc71cc9cf01be906412ccefb1322925f8,4,530158
0x0b62c6fa81d5b2f1b64dad4233887ddee2dfa3c5,4,530158
0x5453e752d50a9c38a376612720c340455a5631d8,4,530158
0x556b5712c2a7cc5506fbfa785b52536fb8243765,91,529077
0x027beefcbad782faf69fad12dee97ed894c68549,31,519418
0x5d348dbb7c5715c767299434e8041630fbb3fdd1,19,518601
0x530d01628c7a83d7e2f9bf40f05273cc16776e06,26,516373
0x4b803e796e6a659445e7fb311cad3304324320bd,38,515571
0xcbba2a803bbd944a2efdc72a53ab99780495cfc1,37,515156
0x336fce31ca0a7ab7bf4fa86307a5b201d6fb7b74,2,514110
0xbf3258a46b09b045ec789c7099102e5ec674a7a4,2,513994
0x1e143b2588705dfea63a17f2032ca123df995ce0,62,511376
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,28,509559
0x2775e612d08bc4abd43b38be93f8db04810da35d,2,509055
0x1fffcef6836af293cfd4d4ce858c7f61c63b283d,117,497705
0x7308452400c7431cd56e41bd176a27ec229b4e49,3,496563
0x4ab70a1a36610229eaf144232985115c22eef669,27,491223
0xd69d6b1fa3ae27d99cc299f64c9c277625fc92b7,9,491076
0x4a10cfa054adac0dee2d120f589295546cbd673f,4,489659
0x5bf51d8781ccde284ee04c979456b2cec01abf7d,17,487144
0xf2c401ada39176838c1b95aa389129d29f5b4b46,12,485616
0x2f515d40e34223e9a8d7d9aaa05001919a69f83f,11,479051
0x102af045b72a25b309d94023b756b5680e73e657,4,476346
0x1608622af8aa7cf09bfa0d4d81e38c9fffca16c5,8,476299
0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,104,473363
0xf01749ee4c60580548b18dc10fcf43d3bdc59f19,18,472341
